sunspot_month,sunspot_number
2000/5/1,173.9
2001/5/1,170.4
2002/5/1,163.6
2003/5/1,99.3
2004/5/1,65.3
2005/5/1,45.8
2006/5/1,24.7
2007/5/1,12.6
2008/5/1,4.2
2009/5/1,4.8
2010/5/1,24.9
2011/5/1,80.8
2012/5/1,84.5
2013/5/1,94
2014/5/1,113.3
2015/5/1,69.8
2016/5/1,39.8
2017/5/1,21.7
2018/5/1,7
2019/5/1,3.6
